step	script	argv	route	surveyed_by_build_survey	driven_rc	driven_sec	reads_artefact_as
44	canon/gen_canon_components.py		GATE	NO (listed only)			PARSES(json)
45	canon/gen_canon_components.py	--check	GATE	yes			PARSES(json)
46	_validate_partials.py		GATE	NO (listed only)	0	0.05	PARSES(json)
47	_validate_partials.py	--selftest	GATE	yes			PARSES(json)
48	gen_snippet_tokens.py	--check --quiet	GATE	NO (listed only)			PARSES(json)
49	_validate_snippets.py		GATE	NO (listed only)	0	0.42	PARSES(json)
50	canon/gen_theme_cascade.py	--check	GATE	yes			PARSES(json)
51	canon/gen_theme_cascade.py	--selftest	GATE	yes			PARSES(json)
52	_validate_state_snap.py		ABORT	NO (listed only)	0	0.02	PARSES(json)
53	_validate_state_snap.py	--selftest	ABORT	yes			PARSES(json)
54	_validate_queue_fresh.py		GATE	NO (listed only)	0	0.02	REGEX/TEXT-ONLY
55	_validate_queue_fresh.py	--selftest	ABORT	yes			REGEX/TEXT-ONLY
56	_validate_palette_tier.py		GATE	NO (listed only)	0	0.04	PARSES(json)
57	_validate_palette_tier.py	--selftest	GATE	yes			PARSES(json)
58	_validate_radius.py		GATE	NO (listed only)	0	0.06	REGEX/TEXT-ONLY
59	gen_showroom.py	--check	GATE	yes			EXECUTES(browser)|PARSES(json)
60	gen_showroom.py	--selftest	GATE	yes			EXECUTES(browser)|PARSES(json)
61	gen_dashboard.py	--check	GATE	yes			PARSES(json)
62	_validate_legacy_leak.py		GATE	NO (listed only)	0	0.03	PARSES(json)
63	_validate_theme_provenance.py		ADVISORY	NO (listed only)	0	0.06	PARSES(json)
64	_validate_token_tiers.py		GATE	NO (listed only)	0	0.02	PARSES(json)
65	_validate_icons.py		GATE	NO (listed only)	0	0.07	PARSES(json)
66	_validate_a11y.py		GATE	NO (listed only)	0	0.5	REGEX/TEXT-ONLY
67	_validate_a11y.py	--selftest	ABORT	yes			REGEX/TEXT-ONLY
68	_validate_hit_area.py	--all	ADVISORY	NO (listed only)	77	0.02	EXECUTES(browser)
69	_validate_wiring.py		GATE	NO (listed only)	0	0.03	EXECUTES(browser)
70	_validate_wiring.py	--selftest	ABORT	yes			EXECUTES(browser)
71	_validate_compose.py		GATE	NO (listed only)	0	0.09	REGEX/TEXT-ONLY
72	_validate_screen.py		GATE	NO (listed only)	0	0.4	EXECUTES(browser)|EXECUTES(import/subproc)
73	_validate_state_contrast.py		GATE	NO (listed only)	77	0.02	EXECUTES(browser)
74	_validate_state_contrast.py	--selftest	ABORT	yes			EXECUTES(browser)
75	_validate_type_composites.py	--ratchet	GATE	NO (listed only)	0	0.16	PARSES(json)|EXECUTES(import/subproc)
76	_validate_type_composites.py	--selftest	ABORT	yes			PARSES(json)|EXECUTES(import/subproc)
77	_validate_coverage.py		GATE	NO (listed only)	0	0.03	PARSES(json)
78	_validate_proforma.py		GATE	NO (listed only)	0	0.04	PARSES(json)
79	_validate_css_governed.py		GATE	NO (listed only)	0	0.02	REGEX/TEXT-ONLY
80	_validate_no_hardcode.py		GATE	NO (listed only)	0	0.03	REGEX/TEXT-ONLY
81	_validate_grid.py		GATE	NO (listed only)	0	0.17	REGEX/TEXT-ONLY
82	_validate_type_blast_radius.py		GATE	NO (listed only)	0	0.03	PARSES(json)
83	_validate_descender_clip.py		GATE	NO (listed only)	0	2.37	EXECUTES(browser)
84	_validate_kg.py		GATE	NO (listed only)	0	0.18	PARSES(json)
85	_validate_kg.py	--selftest	GATE	yes			PARSES(json)
86	_validate_token_forks.py		GATE	NO (listed only)	0	0.33	PARSES(json)
87	_validate_token_forks.py	--selftest	GATE	yes			PARSES(json)
88	_validate_binds_ratchet.py		GATE	NO (listed only)	0	0.02	PARSES(json)
89	_validate_dtcg.py		GATE	NO (listed only)	0	0.02	PARSES(json)
90	_validate_binds_resolve.py		GATE	NO (listed only)	0	0.1	PARSES(json)
91	_validate_binds_resolve.py	--selftest	GATE	yes			PARSES(json)
92	_validate_intent_resolve.py		GATE	NO (listed only)	0	0.02	PARSES(json)
93	_validate_intent_resolve.py	--selftest	GATE	yes			PARSES(json)
94	_validate_dataviz.py		GATE	NO (listed only)	0	0.04	REGEX/TEXT-ONLY
95	_validate_dataviz.py	--selftest	GATE	yes			REGEX/TEXT-ONLY
96	_validate_property_resolves.py	--strict	GATE	NO (listed only)	0	0.1	REGEX/TEXT-ONLY
97	_validate_property_resolves.py	--selftest	ABORT	yes			REGEX/TEXT-ONLY
98	_gate_dataviz_vars.py		GATE	NO (listed only)	0	0.38	PARSES(css-custom)
99	_gate_dataviz_vars.py	--selftest	ABORT	yes			PARSES(css-custom)
100	_gate_minted_consumption.py		ADVISORY	NO (listed only)	0	0.3	PARSES(json)
101	_gate_minted_consumption.py	--selftest	ABORT	yes			PARSES(json)
102	_validate_hidden_display.py		ADVISORY	NO (listed only)	0	1.43	REGEX/TEXT-ONLY
103	_validate_hidden_display.py	--selftest	ABORT	yes			REGEX/TEXT-ONLY
104	_validate_edge_extremity.py		ADVISORY	NO (listed only)	0	0.21	REGEX/TEXT-ONLY
105	compliance/_build_verification_edges.py		ADVISORY	NO (listed only)			PARSES(json)
106	compliance/_import_axe_rules.py		ADVISORY	NO (listed only)			PARSES(json)
107	_build_consult_index.py		ABORT	NO (listed only)			PARSES(json)
108	_consult.py	--selftest	ADVISORY	yes			PARSES(json)
109	_search_core.py	--selftest	ABORT	yes			PARSES(json)
110	_build_memento_index.py		ABORT	NO (listed only)			PARSES(json)
111	_build_memento_index.py	--check	ABORT	yes			PARSES(json)
112	_build_memento_index.py	--selftest	ABORT	yes			PARSES(json)
113	_memento_search.py	--selftest	ABORT	yes			PARSES(json)
114	_build_graph_mention_map.py		ABORT	NO (listed only)			PARSES(json)
115	_build_graph_mention_map.py	--check	ABORT	yes			PARSES(json)
116	_build_graph_mention_map.py	--selftest	ABORT	yes			PARSES(json)
117	_gen_chain.py		ABORT	NO (listed only)			PARSES(python-ast)
118	_gen_chain.py	--check	ABORT	yes			PARSES(python-ast)
119	_gen_chain.py	--selftest	ABORT	yes			PARSES(python-ast)
120	_gen_schematic.py		ABORT	NO (listed only)			PARSES(python-ast)|PARSES(json)
121	_gen_schematic.py	--check	ABORT	yes			PARSES(python-ast)|PARSES(json)
122	_gen_schematic.py	--selftest	ABORT	yes			PARSES(python-ast)|PARSES(json)
123	_validate_package_delta.py		GATE	NO (listed only)	0	1.19	PARSES(python-ast)|BYTES/HASH
124	_validate_package_delta.py	--selftest	GATE	yes			PARSES(python-ast)|BYTES/HASH
125	_build_enactment_register.py		ADVISORY	NO (listed only)			REGEX/TEXT-ONLY
126	_build_instrument_fit.py	--selftest	ADVISORY	yes			EXECUTES(browser)|PARSES(html)|PARSES(json)
127	_build_instrument_fit.py		ADVISORY	NO (listed only)			EXECUTES(browser)|PARSES(html)|PARSES(json)
128	_build_integrity.py		GATE	NO (listed only)	0	0.15	PARSES(json)
129	_could_not_ask.py	--selftest	GATE	yes			REGEX/TEXT-ONLY
130	_probe_registry/_registry.py	--run	ADVISORY	NO (listed only)	1	1.21	EXECUTES(browser)|PARSES(json)
131	_validate_evidence.py	notes/_claims	ADVISORY	NO (listed only)	1	5.92	REGEX/TEXT-ONLY
132	_governs.py	--selftest	GATE	yes			PARSES(json)
133	_release/_gate_frozen_release.py	--check	GATE	yes			PARSES(json)|BYTES/HASH
134	_release/_gate_frozen_release.py	--selftest	ABORT	yes			PARSES(json)|BYTES/HASH
135	_release/_gate_release_audit.py	--check	GATE	yes			PARSES(json)|BYTES/HASH
136	_release/_gate_release_audit.py	--selftest	ABORT	yes			PARSES(json)|BYTES/HASH
137	_release/_gate_ci_template.py	--check	GATE	yes			PARSES(python-ast)|PARSES(yaml)|PARSES(json)
138	_release/_gate_ci_template.py	--selftest	ABORT	yes			PARSES(python-ast)|PARSES(yaml)|PARSES(json)
139	_release/_gate_release_audit.py	--pack	GATE	NO (listed only)	0	0.56	PARSES(json)|BYTES/HASH
140	_release/_gate_release_audit.py	--drift	ADVISORY	NO (listed only)	1	0.04	PARSES(json)|BYTES/HASH
