chart-engine-landed-budget-red-259.md	259 (2026-09-08): dv-render chart engine + six t
chart-expansion-programme.md	Chart expansion: scatter exemplar DONE 07-22 `00
check-after-its-own-remedy.md	A check placed downstream of its own fix cannot 
checkin-at-the-ends-cannot-catch-the-lane.md	A check-in before a lane and after it cannot cat
checkin-is-mandatory-not-optional.md	130: conductor answered 'how hot' with UNKNOWN w
chromium-in-sandbox-recipe.md	How to get a real Chromium running in the Cowork
commit-subject-is-an-ordering-bug.md	The recurring "commit carries the PREVIOUS sessi
comms-style-exec-summary.md	How Dave wants responses structured — short exec
conclusions-are-debt-s129-d5.md	Dave's #129 root ruling — "verified" is a proper
conditional-band-and-recall-probe-214.md	s214-D1..D6 RULED #214: 200-256K conditional ban
conflated-fix-guarantees-recurrence.md	A fix whose sentence claims two problems but who
cowork-gauge-transcript-crack.md	68 DISPROVEN for running parent (no addressable 
dangling-dataviz-var-renders-silent-black.md	184 finding — a chart fill=var(--undefined) rend
dashboards-one-shotable-is-the-focus-246.md	246 (2026-09-05): Dave's SH demo ~2026-09-19; th
dave-voice-skill-and-boot-levers.md	233: `dave-voice` skill SAVED (i-have-adhd hybri
decide-fast-dave-is-the-bottleneck-254.md	Dave (#254) — "help me make these decisions quic
decision-pack-template.md	Dave asked for the decision-pack format to be RE
delegated-wrap-rename-relay.md	A delegated wrap CANNOT deliver the in-chat rena
delegation-cost-inversion-110.md	Delegation is cheap IN THE WINDOW and expensive 
delegation-inversion-ruled.md	Dave #57 RULED subagent-first with safeguards; c
demo-audience-is-david-rice-hsbc-257.md	The upcoming Apollo demo (~mid/late Sept 2026) i
designer-skills-packs-are-releases.md	designer-skills-v1/v2 are frozen DISTILLATION RE
designers-brain-p0-rulings-237.md	237 inscribed ten P0 rulings for the designer's 
desk-cleared-254.md	254 (2026-09-07) — s254-D1 kept all 18 calls, s2
diet-measured-and-ritual-cut-241.md	241 — boot measured 69,092 after the roster diet
do-not-rule-list-cannot-fence-a-generator.md	174 — a queued, priced, Dave-owned change rode i
ds018-ruled-enacted-121.md	ds-018 C2 ruled s121-D1 + enacted #121 — build's
dv-lockup-automarkup.md	68: AUTO-MARKUP = generator's third injection ty
effort-gauge-token-banded-168.md	s168-D2 token-banded effort (S/M/L, job-window t
eleven-defaults-ruled-tenth-release-gate-263.md	Session #263 (2026-09-09) — the eleven PROPOSED 
fall-through-class-declare-what-you-mean.md	When a BASE token value moves, every theme that 
feedback-best-practice-over-convenience.md	Dave wants the CORRECT and EFFECTIVE answer, not
feedback-check-ran-never-reached-plan.md	RULE: after a probe returns, ask what it INVALID
feedback-consequences-always-replayed.md	Dave #165: always surface potential consequences
feedback-context-gauge.md	RULE — estimate context fill with a two-part gau
feedback-decisions-in-plain-prose.md	Dave rules from plain prose + visuals, never fro
feedback-dont-launder-a-premise-into-a-ruling.md	RULE — never put a provenance claim inside an op
feedback-gate-dont-patch.md	RULE: a fix that recurs across files → GATE the 
feedback-mock-the-readings-before-building.md	218 Dave: 'we spent hours fixing a miscommunicat
feedback-no-sonnet-subs.md	Sonnet subs PERMITTED when VERY appropriate (Dav
feedback-press-on-deferments.md	Dave licensed PRESSURE not promotion — be firmer
feedback-rca-before-patches.md	Dave #228 — do a root-cause analysis (5 whys min
feedback-read-the-runbook.md	RULE — for PROCEDURAL tasks (commit, capture rit
feedback-type-composites-mandatory.md	RULE: every component build uses the canon type.
feedback-wrap-is-not-optional.md	Dave's #86 ruling — skipping the wrap is NOT the
filed-sub-reports-ruled-218.md	s218-D7 RULED: every sub FILES its full report a
fill-reader-enacted-91.md	91: FILL vs THROUGHPUT was a 27% unit error stan
float-174-ink-rule.md	DISCHARGED #175 as s175-D1 — the ink rule is SEM
forgotten-document-class.md	185: a document with no store row cannot appear 
four-themes-flexibility-is-the-requirement.md	Dave #108: FOUR themes — mono, legacy, console, 
gate-cannot-pass-in-one-environment.md	173: a gate that disagrees across environments i
gate-glob-scope-rule.md	RULE: a rule is only as wide as its gate's glob.
gate-inside-the-growth-loop.md	39: a cap that fires AFTER the writing is part o
gate-must-quote-what-it-forbids.md	A gate must QUOTE the defect it reports, so its 
gate-that-could-not-run-164.md	164 finding: _build_all died before step 1 since
gauge-absolute-tokens-ruled.md	RULED #56: the gauge is REAL Claude tokens again
gauge-must-refuse-ruled-79.md	79-D1 Dave: the gauge MUST refuse without tiktok
gen-brief-at-the-brief-seat.md	209: knowledge/gen_brief.py EXISTS and is the br
generation-chain-not-copy-chain-234.md	Dave's "KG is the brain" principle answered #234
git-lock-mv-not-rm.md	Sandbox can `mv` a stranded .git lock but cannot
git-push-method.md	RULED 2026-07-05 (supersedes 07-02 terminal-only
glyph-twins-repaired-and-active-derivation-264.md	264 (2026-09-09 evening) — sidebar 'hand-baked g
goal-bite-test-and-four-lanes-265.md	265 (2026-09-09): /goal bite-test built and driv
graph-layers-are-shells-280.md	Dave's mental model of the KG explorer's three l
graph-mark-observation-window.md	CLOSED #124 (s124-D1): DEMOTE RETIRED, mark stay
green-tests-cannot-see-scope.md	19 green tests and 5 killing mutations missed a 
handoff-testing-regime-owed-77.md	regime SHIPPED #77 + phase-2 P1–P4 BUILT #78 (#7
home-by-addition-then-cut.md	RULED #50 — a capped region can be the SOLE home
home-pointer-rot-class.md	_state.json home pointers rot as GOOD-MORNING ro
honest-refusal-needs-a-legal-form.md	62: a format whose only legal values are measure
hook-overflow-2026-08-08.md	Verbatim full text of MEMORY.md fat hooks trimme
hook-overflow-2026-08-09.md	Detail trimmed from MEMORY.md index hooks at the
hook-overflow-2026-08-10.md	Detail trimmed from MEMORY.md index hooks in the
hook-overflow-2026-08-11.md	Detail trimmed from MEMORY.md index hooks in the
hook-overflow-2026-08-14.md	Detail trimmed from MEMORY.md hooks at the #170 
hook-overflow-2026-08-15.md	Full-detail hook lines trimmed from MEMORY.md at
hook-overflow-2026-08-21.md	Verbatim MEMORY.md hook lines as they stood befo
hook-overflow-2026-09-02-240.md	The MEMORY.md index as it stood at the #240 open
hook-overflow-2026-09-02.md	Verbatim prior text of MEMORY.md hooks trimmed a
hook-overflow-2026-09-03-242.md	Pre-#242 MEMORY.md index VERBATIM — every ★★/★/u
hook-overflow-2026-09-08-256.md	Session hooks #237–#251 moved verbatim out of ME
index.md	Apollo SDS — boot index. Newest ★★★ wrap line fi
instruction-right-cause-wrong.md	A correct instruction can ship with an incorrect
instrument-without-a-consumer.md	The signature defect of this programme — an inst
invariant-cannot-discriminate-reversal.md	When rewriting a check across a reversal, assert
kg-explorer-born-and-demo-pivot-266.md	266 (2026-09-10): Dave parked the glyph work; fo
kg-gaps-proposal-269.md	269 (2026-09-14): PROPOSAL 'what the knowledge g
label-crop-pattern-lanes-must-obey-261.md	Dave #261: subagents must be MUCH more careful w
later-with-a-sentence-is-a-ruling.md	When Dave marks an item LATER but attaches a sen
legend-redesign-v5.md	DV-D19 RULED #75 + ENACTED/RATIFIED #76 (split R
live-radius-corner-tuner.md	Dave's flagged "return soon, don't let me forget
m8-cap-at-its-own-floor.md	53 — the M8 banner block was 5,000 and the measu
measure-dont-convert-units.md	RULE: a budget stated in one unit and measured i
memento-closeout-plan.md	185: Memento CLOSE-OUT programme approved by Dav
memento-framing.md	Dave's framing — Memento is the operating model 
memento-is-the-instrument-not-a-detour.md	Memento is the tool Dave builds Apollo WITH — so
memento-package-boundary.md	66: v0.1.1 + one-pager fronting docs + Claude-pl
memento-plugin-disabled-apollo.md	Memento plugin DISABLED on Dave's machine (#69) 
memento-root-fault-prose-has-no-close.md	85 ROOT FAULT: Memento stores work as PROSE and 
memory-brain-is-the-repo-278.md	278 (2026-09-16): the Cowork memory directory (M
memory-compaction-mechanics.md	HOW to run the memory-index compaction chore fro
memory-md-is-in-the-mount.md	MEMORY.md is readable from the sandbox at mnt/.a
memory-notes.md	READ `_CHAIN.md` FIRST *(a newer `_HANDOFF-<n>.m
meta-tags-landed-253.md	253 (2026-09-07): 24 metas carry provides·answer
mint-time-derivation-s200.md	s200-D1 ruled #200 — radius/padding derivation i
model-selection-by-phase.md	Which model for which work — canonically in MODE
mono-error-ink-camp-ruled-149.md	s149-D1 ruled MONO error joins the ink camp — da
mutation-tests-the-clause-not-the-feature.md	A mutation test proves the clause you mutated is
ngram-doors-quote-gate-born-269.md	269 (2026-09-13): n-gram research + three read-o
no-gate-parses-the-artefact.md	122 ds-039: canon.css half dead since #99 — 2,06
non-repo-home-or-declare.md	s191-D2 — hooks naming artefacts outside the rep
one-shot-series-and-2a-removed-258.md	258: five cold runs of the frozen prompt 2/2/0/2
opacity-primitives-minted-99.md	99: --alpha-04..96 MINTED, state-changes-ONLY li
opus-lanes-premise-probe-250.md	250 (2026-09-06): Fable bucket binds (51% vs 27%
p4-p6-p7-recheck-90.md	The 08-02 dream-pass P4/P6/P7 re-checked at HEAD
palette-tier-ruled-157.md	s157-D2 — palette sharing becomes structural (na
photography-assets-arrived.md	211 Dave added knowledge/assets/photography/ (25
plain-prose-wrap-summary-250.md	After every wrap, give Dave a plain-prose narrat
planning-estimate-is-not-a-measurement.md	A rule about not guessing governs what you ASSER
plusminus-text-rung-ruled-144.md	s144-D1 ruled four plus/minus text values, NOT E
pm-topology-adopted-204.md	s204-D1 — PM topology (Fable judgment / Opus bui
polarity-fix-and-boot-band-239.md	239 (2026-09-02): lane F closed V's 48 escapes b
polarity-gate-and-verifier-238.md	238 (2026-09-02) — seven rulings s238-D1..D7 (te
post-wrap-corrections-bloat-class.md	Post-wrap rulings on a delegated wrap multiply i
preload-is-variable-not-a-constant.md	117: boot is an OPENING price, not a constant — 
premise-ages-faster-than-rule.md	35 2026-07-29 — a job can outlive the cost that 
progress-dashboard-ruled-164.md	Dave ruled #164 (2026-08-12) — visual progress d
queue-line-hardcodes-what-the-register-measures-244.md	244 lane A built 0 of 4 nav members — all 16 alr
quota-panel-has-three-numbers.md	Dave's usage panel reports THREE separate budget
read-chain-is-where-staleness-is-free.md	The GM header sits inside _CHAIN.md, so a stale 
recut-and-dream-enacted-256.md	Session #256 (2026-09-08) — v1.0.6 re-cut twice 
refusal-names-the-first-obstacle.md	A gate can refuse honestly, with a named reason,
regen-serial-set-is-ordered.md	After any snippet/meta change the conductor's re
rename-proofs-compare-at-declaration-level.md	canon.css generators emit declarations ALPHABETI
retrieval-default-hides-the-ruling.md	80: _memento_search.py's DEFAULT view ranked the
roles-list-adopted-and-extensions-owed-252.md	252 (2026-09-07): the 12-role `provides` vocabul
roll-pointer-is-not-an-absence.md	A roll pointer says WHAT is outstanding, never W
s149-lessons.md	149 lessons: shared runner banner faked '105/106
sandbox-call-boundary-kills.md	NOTHING survives a tool-call boundary in the wor
sandbox-html-rendering.md	Render Apollo HTML→PNG in-sandbox, real HSBC fon
serializer-defaults-reformat-the-file.md	Writing a structured file back with a library's 
session-witness-built-89.md	89: drill legs 2+3 are ONE defect — the corpus i
six-beat-ladder-ruled.md	63-D1 RULED (Dave's wording): the working method
six-components-revised-on-his-sentences-261.md	261 (2026-09-08/09): six dashboard components de
skills-prune-is-harness-not-panel-243.md	The s242-D2 skills prune (docx/pptx/xlsx/pdf/sch
specimen-starts-from-reference.md	202: specimens COPY the approved artefact/refere
stale-mount-corroborates-a-stale-premise.md	118 opened with two false claims to Dave — the m
state-store-built-88.md	88 BUILT the Memento task store — knowledge/_sta
stop-line-repriced-93.md	94 ENACTED stop line 150,929 (n=3 high end) — th
strip-orients-card-details-251.md	251 (2026-09-06): DP-08 A+B2 built in canon unde
sub-ruled-daves-open-item-110.md	A delegated wrap raised DOFIRST_INDEX_TK_MAX 700
subject-fold-gated-124.md	git %s folds all lines to first blank into the s
surface-recorder-built-113.md	The conductor-surface recorder is BUILT and driv
swiss-skill-as-apollo-taste-guarantee-288.md	Parked idea from Dave at #288 (2026-09-19): borr
tape-is-openai-not-claude.md	SETTLED #53 — tape(cl100k) × 1.559 = REAL tokens
tape-unit-is-not-real-tokens.md	80: the tape-unit finding was a RE-DISCOVERY (#5
the-smallest-term-boot-arithmetic.md	Where the context window actually goes — the rea
three-axis-model-ruled-136.md	s136-D1 — the three-axis model (params/variants/
translate-prose-into-machinery.md	Dave #47 — "more machinery is what we are after,
triage-sitting-212.md	212 THE TRIAGE SITTING — 12 rulings s212-D1..D12
two-ratifications-frozen-gate-right-257.md	257 (2026-09-08): v1.0.6 ratified (s257-D1) and 
two-red-law-ruled-151.md	s151-D1 FIRM — background-keyed two reds; a11y =
unkeyed-gate-vs-roll2f-tension.md	ds-022 (d) says write the key WITH the testimony
unmatched-grep-is-not-an-absence.md	39: a probe that comes back empty is not evidenc
unrun-search-indistinguishable-from-absent-record.md	114: both 'unknowns' put to Dave were IN THE REC
unwired-validators-are-a-class.md	118: 29 validators on disk, 25 wired — FOUR orph
v1010-released-edges-ratified-kg-sphere-267.md	267 (2026-09-10): v1.0.10 RELEASED + pushed (pac
v1013-designer-pack-and-deck-v7-268.md	268 (2026-09-11→13) — v1.0.13 is the DESIGNER PA
v106-cut-and-grid-may-not-matter-245.md	245 (2026-09-03): v1.0.6 CUT PROPOSED in one day
v108-released-eight-fast-followers-260.md	260 (2026-09-08): four rulings s260-D1..D4 — cor
v109-shipped-and-salutation-opener-262.md	262 (2026-09-09): v1.0.9 RELEASED at dd129e8 (sh
vocabulary-collision-switch-202.md	202: one word ('switch') meaning three things co
w1-density-landed-247.md	247: Dave ruled 29 (not 18), carefully, test — s
w2-rhythm-landed-248.md	248 (2026-09-05, committed 09-06 c05ff59): W2 4+
workflow-commit-summaries.md	RETIRED by Dave #63 (2026-07-31): do NOT hand pa
wrap-269-graph-gets-its-atoms.md	269 WRAPPED 2026-09-14 (multi-day from 09-13): s
wrap-270-the-door-and-the-cutoff.md	270 wrapped — three read-only Opus lanes (roles/
wrap-271-ratify-the-atoms-widen-the-net.md	271 wrapped — s270-D2 landed the atoms (115 edge
wrap-272-the-cut-and-the-inscription.md	272 wrapped 2026-09-15 — 93 rulings s272-D1..D93
wrap-273-the-address-and-the-registry.md	273 wrapped 2026-09-15 — s272-D93 advisory arm e
wrap-274-the-line-and-the-rules.md	274 wrap (2026-09-15): 12 rulings 566→578 — the 
wrap-275-the-principles-and-the-second-seat.md	275 wrapped 2026-09-15 — s275-D1..D6 (578 → 584)
wrap-276-the-loose-ends-tied-off.md	276 wrapped 2026-09-15 — s276-D1..D6 (584→590), 
wrap-277-the-constitution-and-the-thin-slice.md	277 (2026-09-15/16) wrapped — 13 rulings 590→603
wrap-278-the-cloud-move-and-the-seed.md	278 (2026-09-16) wrapped — a housekeeping sessio
wrap-279-the-wave-lands-and-the-graph-question.md	279 (2026-09-16) wrapped — the enactment session
wrap-280-the-matrix-and-the-front-door.md	280 (opened 2026-09-16, wrapped 2026-09-17) — th
wrap-281-the-orphan-plan-and-the-brain-learns-why.md	281 (2026-09-17, one day) — the session that rec
wrap-282-the-rule-notes-land-and-the-logo-is-ruled.md	282 (opened 2026-09-17, wrapped 2026-09-18) — th
wrap-283-the-seam-check-is-born-and-the-disk-is-diagnosed.md	Apollo #283 wrap record — the lane-seam check is
wrap-284-the-masters-are-accepted-and-the-disk-lever-is-found.md	284 (2026-09-18) — the 40 per-size logo masters 
wrap-285-the-b-is-straightened-and-the-connector-answer.md	285 (2026-09-18) — Dave REOPENED his own #284 ac
wrap-286-the-connector-lever-reads-and-the-masters-are-sized.md	Apollo #286 wrap (2026-09-18): the Browser-conne
wrap-287-the-rulings-land-and-the-strand-map-is-ordered.md	Apollo #287 (2026-09-19) — two #286 sentences be
wrap-288-apollo-composes-and-the-sloppiness-class-is-named.md	288 (2026-09-19) — Dave challenged the premise o
wrap-289-the-story-is-his-and-the-plant-has-seven-drawings.md	Apollo session #289 (2026-09-19 → 2026-09-20, DA
wrap-290-he-rules-the-catalogue-by-eye-and-the-instrument-calls-the-wrap.md	Apollo session #290 (2026-09-20) — Dave ruled th
wrap-291-six-versions-by-his-eye-and-the-instrument-overridden-once-then-obeyed.md	Session #291 (2026-09-20, wrapped 09-21) — the t
wrap-292-the-release-went-green-and-the-brain-was-ruled-three-more-times.md	Apollo #292 (2026-09-21) — the release CI job we
wrap-293-the-dream-backlog-was-cut-down-and-the-review-page-is-owed.md	Apollo #293 wrap (2026-09-21) — the dream-pass e
wrap-294-the-twelve-were-ruled-inscribed-and-enacted-in-one-day.md	294 (2026-09-21) wrap: the judgement-only review
wrap-295-the-push-landed-and-the-wrap-gate-reached-zero.md	Apollo session #295 (opened Mon 2026-09-21, ritu
wrap-296-two-decks-for-friday-ruled-by-his-eye-and-his-boss.md	296 (2026-09-22) wrapped — two v14 decks built f
wrap-297-the-plain-deck-carries-friday-and-his-eye-ruled-it-slide-by-slide.md	297 (opened 2026-09-22, lanes and ritual 09-23) 
wrap-298-the-running-order-is-settled-and-the-work-is-to-enact-what-he-decided.md	298 (2026-09-23) wrapped — Dave settled the Frid
wrap-299-his-last-changes-are-in-the-deck-and-the-ask-is-what-is-left.md	299 (2026-09-23) wrapped — his last copy and dra
wrap-rehearsal-built-92.md	92 built --rehearse: the wrap gate run mid-windo
wrap-skipped-chain-certifies-wrong-session.md	71: #70 committed rulings but never wrote GM/_LI
write-once-principle-floated-192.md	192 FLOATED (Dave: 'get this all recorded'): WRI
